j_reset_real 0 00100000 B               reset; Branch
sub_100874 0 00100874 STR             LR, [SP,#-4]!; Store to Memory
sub_1008D4 0 001008d4 STMFD           SP!, {R3,LR}; Store Block to Memory
sub_1008F8 0 001008f8 CMP             R0, #0; Set cond. codes on Op1 - Op2
sub_1008F8 1 00100904 LDR             R2, [R1,#0]; Load from Memory
sub_1008F8 2 00100910 MOV             R0, #1; Rd = Op2
sub_1008F8 3 00100918 MOV             R2, #0; Rd = Op2
sub_100930 0 00100930 CMP             R1, #0; Set cond. codes on Op1 - Op2
sub_100930 1 0010093c CMP             R0, #0; Set cond. codes on Op1 - Op2
sub_100930 2 00100950 BX              LR; Branch to/from Thumb mode
sub_100970 0 00100970 STMFD           SP!, {R4,LR}; Store Block to Memory
memset2 0 00100988 STMFD           SP!, {R4,LR}; Store Block to Memory
sub_1009B0 0 001009b0 CMP             R0, #0; Set cond. codes on Op1 - Op2
sub_1009B0 1 001009c4 LDR             R0, [R0,#0]; Load from Memory
sub_1009B0 2 001009d8 CMP             R2, #1; Set cond. codes on Op1 - Op2
sub_1009B0 3 001009e0 B               loc_100A04; Branch
sub_1009B0 4 001009e4 MOV             R0, #2; Rd = Op2
sub_1009B0 5 001009ec LDR             R3, [R1,#4]; Load from Memory
sub_1009B0 6 00100a04 MOV             R0, R3; Rd = Op2
sub_100A2C 0 00100a2c STMFD           SP!, {R4-R6,LR}; Store Block to Memory
sub_100A2C 1 00100a38 LDR             R0, [R5,#0x104]; Load from Memory
sub_100A2C 2 00100a44 MOV             R0, #0x3E8; Rd = Op2
sub_100A2C 3 00100a54 LDR             R0, [R5,#0x104]; Load from Memory
sub_100A2C 4 00100a64 LDR             R0, [R5,#0x104]; Load from Memory
sub_100A2C 5 00100a70 LDMFD           SP!, {R4-R6,PC}; Load Block from Memory
sub_100AA0 0 00100aa0 MOV             R0, #0; Rd = Op2
sub_100AA8 0 00100aa8 STMFD           SP!, {R4-R8,LR}; Store Block to Memory
sub_100AA8 1 00100ac4 LDR             R0, [R5,#4]; Load from Memory
sub_100AA8 2 00100ad0 LDR             R0, [R5,#0]; Load from Memory
sub_100AA8 3 00100adc CMP             R2, #1; Set cond. codes on Op1 - Op2
sub_100AA8 4 00100ae4 CMP             R1, #0; Set cond. codes on Op1 - Op2
sub_100AA8 5 00100aec LDRB            R2, [R8,#0]; Load from Memory
sub_100AA8 6 00100afc CMP             R2, #2; Set cond. codes on Op1 - Op2
sub_100AA8 7 00100b08 LDR             R0, [R0,#4]; Load from Memory
sub_100AA8 8 00100b1c MOV             R0, #2; Rd = Op2
sub_100AA8 9 00100b20 LDMFD           SP!, {R4-R8,PC}; Load Block from Memory
sub_100AA8 10 00100b24 CMN             R4, #4; Set cond. codes on Op1 + Op2
sub_100AA8 11 00100b2c MOV             R3, #0; Rd = Op2
sub_100AA8 12 00100b48 ADDS            R4, R4, #4; Rd = Op1 + Op2
sub_100AA8 13 00100b54 B               loc_100B6C; Branch
sub_100AA8 14 00100b58 MOV             R3, #1; Rd = Op2
sub_100AA8 15 00100b6c LDR             R0, [R5,#0]; Load from Memory
sub_100AA8 16 00100b88 MOV             R1, #1; Rd = Op2
sub_100B9C 0 00100b9c CMP             R0, #0; Set cond. codes on Op1 - Op2
sub_100B9C 1 00100bb0 MOV             R2, #0; Rd = Op2
sub_100B9C 2 00100bc0 BX              LR; Branch to/from Thumb mode
sub_100BC4 0 00100bc4 STMFD           SP!, {R4-R6,LR}; Store Block to Memory
sub_100BC4 1 00100be0 LDR             R0, [R5,#4]; Load from Memory
sub_100BC4 2 00100bec LDR             R1, [R5,#0]; Load from Memory
sub_100BC4 3 00100bf8 LDRB            R0, [R4,#0]; Load from Memory
sub_100BC4 4 00100c08 CMP             R0, #2; Set cond. codes on Op1 - Op2
sub_100BC4 5 00100c14 LDR             R0, [R1,#4]; Load from Memory
sub_100BC4 6 00100c20 MOV             R0, #2; Rd = Op2
sub_100BC4 7 00100c24 LDMFD           SP!, {R4-R6,PC}; Load Block from Memory
sub_100BC4 8 00100c28 LDR             R0, [R4,#0x75]; Load from Memory
sub_100BC4 9 00100c34 CMP             R0, #0x40; Set cond. codes on Op1 - Op2
sub_100BC4 10 00100c40 ADD             R1, R4, #0x35; Rd = Op1 + Op2
sub_100BC4 11 00100c5c LDR             R2, [R4,#0x75]; Load from Memory
sub_100BC4 12 00100c78 LDR             R0, [R5,#0]; Load from Memory
sub_100BC4 13 00100c94 MOV             R1, #1; Rd = Op2
sub_100CA8 0 00100ca8 CMP             R1, #1; Set cond. codes on Op1 - Op2
sub_100CA8 1 00100cb8 CMP             R0, #0; Set cond. codes on Op1 - Op2
sub_100CA8 2 00100cc8 LDR             R0, [R0,#0]; Load from Memory
sub_100CA8 3 00100cd4 CMP             R1, #1; Set cond. codes on Op1 - Op2
sub_100CA8 4 00100ce0 MOV             R0, #2; Rd = Op2
sub_100CA8 5 00100ce8 MOV             R2, #0; Rd = Op2
sub_100CA8 6 00100d08 CMP             R1, #2; Set cond. codes on Op1 - Op2
sub_100CA8 7 00100d10 B               loc_100D8C; Branch
sub_100CA8 8 00100d14 LDR             R1, =0x1234567; Load from Memory
sub_100CA8 9 00100d44 MOV             R1, #2; Rd = Op2
sub_100CA8 10 00100d8c MOV             R0, R3; Rd = Op2
sub_100DC8 0 00100dc8 STMFD           SP!, {R4-R10,LR}; Store Block to Memory
sub_100DC8 1 00100ddc CMP             R2, #1; Set cond. codes on Op1 - Op2
sub_100DC8 2 00100de4 CMP             R1, #0; Set cond. codes on Op1 - Op2
sub_100DC8 3 00100dec LDR             R5, [R1,#4]; Load from Memory
sub_100DC8 4 00100e04 MOV             R0, #1; Rd = Op2
sub_100DC8 5 00100e08 LDMFD           SP!, {R4-R10,PC}; Load Block from Memory
sub_100DC8 6 00100e0c MOV             R0, #2; Rd = Op2
sub_100DC8 7 00100e14 CMP             R1, #0x40; Set cond. codes on Op1 - Op2
sub_100DC8 8 00100e1c ADD             R1, R4, #0x35; Rd = Op1 + Op2
sub_100DC8 9 00100e38 LDR             R1, [R4,#0x75]; Load from Memory
sub_100DC8 10 00100e48 CMP             R0, #0x40; Set cond. codes on Op1 - Op2
sub_100DC8 11 00100e54 CMP             R7, #0x40; Set cond. codes on Op1 - Op2
sub_100DC8 12 00100e5c CMP             R0, #0x40; Set cond. codes on Op1 - Op2
sub_100DC8 13 00100e64 ADD             R1, R4, #0x35; Rd = Op1 + Op2
sub_100DC8 14 00100e80 MOV             R2, #0x40; Rd = Op2
sub_100DC8 15 00100ea0 CMP             R7, R5; Set cond. codes on Op1 - Op2
sub_100DC8 16 00100ea8 SUB             R0, R5, R7; Rd = Op1 - Op2
sub_100DC8 17 00100edc CMP             R8, #0; Set cond. codes on Op1 - Op2
sub_100DC8 18 00100ef0 CMN             R5, #4; Set cond. codes on Op1 + Op2
sub_100DC8 19 00100efc MOV             R2, #0xFFFFFFFC
sub_100DC8 20 00100f14 ADDS            R5, R5, #4; Rd = Op1 + Op2
sub_100DC8 21 00100f20 LDMFD           SP!, {R4-R10,PC}; Load Block from Memory
sub_100DC8 22 00100f24 MOV             R2, R5; Rd = Op2
sub_100DC8 23 00100fd0 STMFD           SP!, {R4-R9,LR}; Store Block to Memory
sub_100F40 0 00100f40 LDR             R0, =dword_10F75C; Load from Memory
sub_100F40 1 00100f80 MOV             R1, SP; Rd = Op2
sub_100F40 2 00100f94 LDR             R0, [SP,#0]; Load from Memory
sub_100F40 3 00100fa0 LDRB            R0, [SP,#8]; Load from Memory
sub_100F40 4 00100fa8 MOV             R5, R0; Rd = Op2
sub_100F40 5 00100fb8 ADD             SP, SP, #0x14; Rd = Op1 + Op2
sub_100F40 6 00100fc4 MOV             R0, #1; Rd = Op2
sub_100F40 7 0010f0d4 B               loc_10F0D4; Branch
sub_100FD0 0 00100fd0 STMFD           SP!, {R4-R9,LR}; Store Block to Memory
sub_100FD0 1 0010100c CMP             R3, #1; Set cond. codes on Op1 - Op2
sub_100FD0 2 00101048 TST             R5, #0xF; Set cond. codes on Op1 & Op2
sub_100FD0 3 00101050 AND             R0, R5, #0xF; Rd = Op1 & Op2
sub_100FD0 4 0010105c ADD             R0, SP, #0x18; Rd = Op1 + Op2
sub_100FD0 5 00101094 CMP             R0, #2; Set cond. codes on Op1 - Op2
sub_100FD0 6 001010a0 STR             R0, [SP,#0xC]; Store to Memory
sub_100FD0 7 001010a4 ADD             R1, SP, #0x28; Rd = Op1 + Op2
sub_100FD0 8 001010b8 LDR             R0, [SP,#0x28]; Load from Memory
sub_100FD0 9 001010c8 LDRB            R0, [SP,#0x34]; Load from Memory
sub_100FD0 10 001010dc LDR             R3, [SP,#0x30]; Load from Memory
sub_100FD0 11 001010f8 MOV             R0, #0x35; Rd = Op2
sub_100FD0 12 0010111c MOV             R6, R0; Rd = Op2
sub_100FD0 13 00101120 LDR             R0, [SP,#0x38]; Load from Memory
sub_100FD0 14 0010112c ADD             SP, SP, #0x3C; Rd = Op1 + Op2
sub_100FD0 15 0010f0d4 B               loc_10F0D4; Branch
sub_10113C 0 0010113c LDR             R2, =0x118600; a3
sub_10113C 1 00103e8c STMFD           SP!, {R4-R10,LR}; Store Block to Memory
sub_101170 0 00101170 MOV             R3, R0; Rd = Op2
sub_101170 1 00101188 LDR             R4, [R3,#0]; Load from Memory
sub_101170 2 001011b0 LDMFD           SP!, {R4,R5}; Load Block from Memory
sub_1011B8 0 001011b8 LDR             R2, =byte_80034B0; Load from Memory
sub_1011B8 1 001011d0 LDR             R0, [R0,#4]; Load from Memory
sub_1011B8 2 001011dc BL              sub_1012B0; Branch with Link
sub_1011B8 3 001011e8 MOV             R0, R1; Rd = Op2
sub_1011F4 0 001011f4 STMFD           SP!, {R3-R7,LR}; Store Block to Memory
sub_1011F4 1 0010126c CMP             R0, #0; Set cond. codes on Op1 - Op2
sub_1011F4 2 00101278 LDR             R0, [R4,#4]; Load from Memory
sub_1011F4 3 00101284 ORRS            R0, R6, R5; Rd = Op1 | Op2
sub_1011F4 4 00101298 LDR             R0, [R7,#4]; Load from Memory
sub_1011F4 5 001012a4 LDMFD           SP!, {R3-R7,PC}; Load Block from Memory
sub_1011F4 6 00102470 LDR             R5, =byte_80034B0; Load from Memory
sub_1012B0 0 001012b0 STMFD           SP!, {R3-R7,LR}; Store Block to Memory
sub_1012B0 1 0010130c MOV             R2, #0; Rd = Op2
sub_1012B0 2 0010133c CMP             R0, #0; Set cond. codes on Op1 - Op2
sub_1012B0 3 00101344 LDR             R0, [R4,#4]; Load from Memory
sub_1012B0 4 00101350 STRB            R6, [R5,#0]; Store to Memory
sub_101360 0 00101360 STMFD           SP!, {R4-R6,LR}; Store Block to Memory
sub_101360 1 0010139c LDR             R0, [R5,#0x30]; Load from Memory
sub_101360 2 001013b4 LDRD            R0, [R5,#0x50]; Load pair of registers
sub_1013C8 0 001013c8 STMFD           SP!, {R4-R6,LR}; Store Block to Memory
sub_1013C8 1 001013e4 LDR             R2, [R1,#8]; Load from Memory
sub_1013C8 2 00101400 STR             R0, [R5,#0x30]; Store to Memory
sub_1013C8 3 0010141c LDR             R6, [R0,#8]; Load from Memory
sub_1013C8 4 00101430 LDR             R6, [R0,#0x10]; Load from Memory
sub_1013C8 5 00101444 LDR             R6, [R0,#0x18]; Load from Memory
sub_1013C8 6 00101458 LDR             R6, [R0,#0x20]; Load from Memory
sub_1013C8 7 0010146c LDR             R6, [R0,#0x24]; Load from Memory
sub_1013C8 8 00101480 LDR             R6, [R0,#0x2C]; Load from Memory
sub_1013C8 9 00101494 STR             R12, [R5,#0x5C]; Store to Memory
sub_1013C8 10 001014b0 LDR             R12, [R1,#0]; Load from Memory
sub_1013C8 11 001014c4 LDR             R12, [R1,#0x10]; Load from Memory
sub_1013C8 12 001014d8 LDR             R12, [R1,#0xC]; Load from Memory
sub_1013C8 13 001014ec LDR             R1, [R1,#0x18]; Load from Memory
sub_1013C8 14 00101500 LDR             R1, [R2,#4]; Load from Memory
sub_1013C8 15 0010150c STR             R3, [R5,#0xC]; Store to Memory
sub_1013C8 16 0010151c STR             R6, [R3,#0]; Store to Memory
sub_1013C8 17 001015ac CMP             R4, #0; Set cond. codes on Op1 - Op2
sub_1013C8 18 001015b8 MOV             R0, R4; Rd = Op2
sub_1013C8 19 001015c0 MOV             R4, #0; Rd = Op2
sub_1013C8 20 001015c4 LDR             R1, [R5,#4]; Load from Memory
sub_1015D8 0 001015d8 LDR             R12, =byte_80034B0; Load from Memory
sub_10163C 0 0010163c STMFD           SP!, {R4-R11,LR}; Store Block to Memory
sub_10163C 1 00101664 MOV             R7, #0; Rd = Op2
sub_10163C 2 0010169c SUB             R0, R5, R1; Rd = Op1 - Op2
sub_10163C 3 001016b4 STR             R9, [R8,#0x44]; Store to Memory
sub_10163C 4 001016ec LDR             R0, [R8,#0x30]; Load from Memory
sub_10163C 5 00101704 LDR             R0, [R8,#0x48]; Load from Memory
sub_10163C 6 00101710 CMP             R5, #0; Set cond. codes on Op1 - Op2
sub_10163C 7 00101718 MOV             R2, #1; Rd = Op2
sub_10163C 8 0010173c B               loc_101D70; jumptable 00101738 default case
sub_10163C 9 00101778 LDRB            R0, [R8,#0]; jumptable 00101738 case 0
sub_10163C 10 00101784 CMP             R5, #0x30; Set cond. codes on Op1 - Op2
sub_10163C 11 00101790 CMP             R5, #0x14; Set cond. codes on Op1 - Op2
sub_10163C 12 001017a0 B               loc_1017B8; Branch
sub_10163C 13 001017a4 LDR             R0, [R1,#4]; Load from Memory
sub_10163C 14 001017b0 MOV             R0, #5; Rd = Op2
sub_10163C 15 001017b8 LDR             R0, [R1,#0x10]; Load from Memory
sub_10163C 16 001017c4 LDR             R0, [R1,#8]; Load from Memory
sub_10163C 17 001017d8 LDR             R2, [R8,#0x34]; Load from Memory
sub_10163C 18 001017f0 CMP             R5, #0x14; Set cond. codes on Op1 - Op2
sub_10163C 19 001017fc LDR             R0, [R1,#0x14]; Load from Memory
sub_10163C 20 00101810 CMP             R0, #2; Set cond. codes on Op1 - Op2
sub_10163C 21 00101818 CMP             R0, #3; Set cond. codes on Op1 - Op2
sub_10163C 22 00101820 LDR             R0, [R8,#8]; Load from Memory
sub_10163C 23 00101834 BL              sub_1011F4; Branch with Link
sub_10163C 24 00101844 LDR             R0, [R8,#8]; Load from Memory
sub_10163C 25 00101850 STRB            R0, [R8,#0]; Store to Memory
sub_10163C 26 00101858 LDR             R0, [R8,#0x2C]; Load from Memory
sub_10163C 27 00101864 LDR             R0, [R8,#0x28]; Load from Memory
sub_10163C 28 00101878 STR             R9, [SP,#0]; Store to Memory
sub_10163C 29 001018ec CMP             R0, #0; Set cond. codes on Op1 - Op2
sub_10163C 30 001018f4 B               loc_101960; Branch
sub_10163C 31 001018f8 MOV             R0, #0x1B; Rd = Op2
sub_10163C 32 00101900 LDR             R0, [R4,#4]; Load from Memory
sub_10163C 33 00101910 B               loc_101850; Branch
sub_10163C 34 00101914 LDR             R4, =dword_80037A8; Load from Memory
sub_10163C 35 00101958 CMP             R0, #0; Set cond. codes on Op1 - Op2
sub_10163C 36 00101960 MOV             R0, #0xC; Rd = Op2
sub_10163C 37 00101968 MOV             R0, #0x17; Rd = Op2
sub_10163C 38 00101970 LDR             R0, [R4,#4]; Load from Memory
sub_10163C 39 00101980 MOV             R0, #0xA; Rd = Op2
sub_10163C 40 00101988 BL              sub_102130; Branch with Link
sub_10163C 41 00101998 B               loc_101CDC; Branch
sub_10163C 42 0010199c LDRB            R0, [R8,#0]; jumptable 00101738 case 3
sub_10163C 43 001019a8 CMP             R5, #8; Set cond. codes on Op1 - Op2
sub_10163C 44 001019bc MOV             R0, #6; Rd = Op2
sub_10163C 45 001019dc MOV             R2, #0; Rd = Op2
sub_10163C 46 00101a0c CMP             R0, #0; Set cond. codes on Op1 - Op2
sub_10163C 47 00101a14 LDR             R0, [R4,#4]; Load from Memory
sub_10163C 48 00101a20 LDR             R0, [R8,#0x14]; Load from Memory
sub_10163C 49 00101a2c B               loc_101A74; Branch
sub_10163C 50 00101a30 MOV             R0, #2; Rd = Op2
sub_10163C 51 00101a58 CMP             R0, #0xA; Set cond. codes on Op1 - Op2
sub_10163C 52 00101a64 STRB            R9, [R8,#0]; Store to Memory
sub_10163C 53 00101a70 B               loc_101A70; Branch
sub_10163C 54 00101a74 LDR             R0, [R8,#0x30]; Load from Memory
sub_10163C 55 00101a8c CMP             R0, #1; Set cond. codes on Op1 - Op2
sub_10163C 56 00101a98 CMP             R0, #0xB; Set cond. codes on Op1 - Op2
sub_10163C 57 00101aa0 STRB            R9, [R8,#0]; Store to Memory
sub_10163C 58 00101aa8 STR             R10, [R8,#0x10]; Store to Memory
sub_10163C 59 00101ab0 LDRB            R0, [R8,#0]; jumptable 00101738 case 5
sub_10163C 60 00101ac0 CMP             R0, #0xA; Set cond. codes on Op1 - Op2
sub_10163C 61 00101acc CMP             R5, #8; Set cond. codes on Op1 - Op2
sub_10163C 62 00101ae0 STR             R9, [SP,#0]; Store to Memory
sub_10163C 63 00101b14 LDRB            R0, [R8,#0]; jumptable 00101738 case 8
sub_10163C 64 00101b20 CMP             R5, #0x10; Set cond. codes on Op1 - Op2
sub_10163C 65 00101b3c LDRD            R0, [R4,#8]; Load pair of registers
sub_10163C 66 00101b58 LDRD            R0, [R4,#8]; Load pair of registers
sub_10163C 67 00101b78 CMP             R5, #0; Set cond. codes on Op1 - Op2
sub_10163C 68 00101b80 LDR             R0, [R8,#0x28]; Load from Memory
sub_10163C 69 00101bac MOV             R6, #0x19; Rd = Op2
sub_10163C 70 00101bb8 LDR             R0, [R8,#0x24]; Load from Memory
sub_10163C 71 00101bd8 CMP             R0, #0; Set cond. codes on Op1 - Op2
sub_10163C 72 00101be0 MOV             R6, #0xC; Rd = Op2
sub_10163C 73 00101be8 MOV             R6, #0x17; Rd = Op2
sub_10163C 74 00101bf0 CMP             R1, R4; Set cond. codes on Op1 - Op2
sub_10163C 75 00101bf8 MOV             R6, #0xA; Rd = Op2
sub_10163C 76 00101bfc MOV             R0, R6; Rd = Op2
sub_10163C 77 00101c04 CMP             R6, #0; Set cond. codes on Op1 - Op2
sub_10163C 78 00101c14 B               loc_101BFC; Branch
sub_10163C 79 00101c18 LDRD            R0, [R4,#8]; Load pair of registers
sub_10163C 80 00101c30 CMP             R1, #0; Set cond. codes on Op1 - Op2
sub_10163C 81 00101c38 LDR             R1, [R4,#0xC]; Load from Memory
sub_10163C 82 00101c44 B               loc_101CDC; Branch
sub_10163C 83 00101c48 LDRB            R0, [R8,#0]; jumptable 00101738 case 10
sub_10163C 84 00101c58 CMP             R5, #0xC; Set cond. codes on Op1 - Op2
sub_10163C 85 00101c6c LDR             R0, [R0,#8]; Load from Memory
sub_10163C 86 00101c7c LDRB            R0, [R8,#0]; jumptable 00101738 case 11
sub_10163C 87 00101c88 CMP             R5, #0xC; Set cond. codes on Op1 - Op2
sub_10163C 88 00101ca8 LDR             R1, [R8,#0x30]; Load from Memory
sub_10163C 89 00101cd8 BL              sub_1011F4; Branch with Link
sub_10163C 90 00101cdc LDRB            R0, [R8,#0]; Load from Memory
